"Restaurant Depot #506",,"Customer# 50608066"
"3670 E Marginal Way South",,"THE BERLINER DONER KEBAB"
"Seattle, WA 98134",,"221,1ST AVE S"
4900005846,"COKE CLASSIC       12Z   ",1,0,$19.41
1,"SEATTLE SBT",1,0,$7.35
3520019758,"RICE PARBOIL BAG   1/50# ",1,0,$34.03
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.19
7934102213,"TORT WHT GRDITA13""       ",0,1,$43.54
7959448953,"BAG BRN SOS 8#           ",1,0,$22.47
76069500166,"TOM PUREE 1.06 ISB       ",1,0,$6.37
76069500330,"JUICE LEMON GAL    4/1GAL",1,0,$8.96
4150081938,"MUSTARD YLW FRENCH 4/105Z",0,1,$19.44
2060079278,"PD TOMATO ROMA XL        ",3,0,$47.10

"Invoice: ","120680 Terminal: 0","03/13/2023 12:00 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
4900004659,"MEXICAN COKE       500ML "," -2",0," -$78.62"
1,"SEATTLE SBT"," -2",0," -$14.20"
0,Sub-Total,0,0," -$92.82"
0,Tax,0,0," -$8.06"
0,Total,0,0," -$100.88"
0,"IOU PAYMNT X2666",0,0," -$100.88"
0,Balance,0,0,$0.00

"Invoice: ","12666 Terminal: 12","03/13/2023 8:33 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0," -$100.88"
20796680000,"BF HAL CHUCK ROLL        ",66.6,0,$307.69
20796680000,"BF HAL CHUCK ROLL        ",66.6,0," -$13.32"
0,Sub-Total,0,0,$294.37
0,Tax,0,0,$0.00
0,Total,0,0,$294.37
0,"AMEX 3009",0,0,$193.49
0,Balance,0,0,$100.88

"Invoice: ","7005 Terminal: 60","03/13/2023 6:51 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
60688610845,"CHZ FETA CRUMB ITH 5#    ",0,1,$64.20
3022301150,"PD SPINACH CLEAN         ",0,1,$15.20
2060035413,"PD CUCUMBER SEL 72       ",1,0,$34.10
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.08
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.08
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.08
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.08
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$18.99
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20796680000,"BF HAL CHUCK ROLL        ",55.8,0,$270.63
20796680000,"BF HAL CHUCK ROLL        ",55.8,0," -$11.72"
20796680000,"BF HAL CHUCK ROLL        ",80.2,0,$372.13
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.19
71375741270,"GLOVE VNL MD PF          ",0,1,$39.40
76069500582,"SPC TURMERIC GRND  1LB   ",1,0,$8.85
76069500582,"SPC TURMERIC GRND  1LB   ",1,0,$8.85
76069500582,"SPC TURMERIC GRND  1LB   ",1,0,$8.85
2670058502,"OIL CANOLA C/PRIDE 6/1GAL",1,0,$16.34
76069557443,"SPC OREGANO GREEK  24Z   ",1,0,$18.08
74243404471,"PEPPER BAN RNGMIL        ",0,1,$26.74
76069500166,"TOM PUREE 1.06 ISB       ",1,0,$6.37
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40
3520007554,"RICE PARBOIL CUBE  1/50# ",1,0,$33.14
2700038251,"KETCHUP HUNTS      #10   ",0,1,$30.71
76069502959,"CONT#3 TO GO KRAFT 64Z   ",1,0,$72.08
7959448980,"BAG BRN SOS 1/6          ",1,0,$80.75
4900004659,"MEXICAN COKE       500ML ",1,0,$39.31
1,"SEATTLE SBT",1,0,$7.10
4900004659,"MEXICAN COKE       500ML ",1,0,$39.31
1,"SEATTLE SBT",1,0,$7.10
2060079278,"PD TOMATO ROMA XL        ",1,0,$19.15
2060079278,"PD TOMATO ROMA XL        ",1,0,$19.15
2060079278,"PD TOMATO ROMA XL        ",1,0,$19.15
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
4900005849,"COKE ZERO          12Z   ",1,0,$19.62
7934102802,"TORT SPNACH WRP12""       ",0,1,$43.54
72181004112,"BAG SANDWICH-DX18        ",1,0,$47.08
76069557411,"SPC BAY LVS WHL    2Z    ",1,0,$4.43
76069557411,"SPC BAY LVS WHL    2Z    ",1,0,$4.43
0,Sub-Total,0,0,"$2,020.57"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$34.60
0,Total,0,0,"$2,055.17"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX0579",0,0,"$2,055.17"
0,Balance,0,0,$0.00

"Invoice: ","120838 Terminal: 0","03/20/2023 12:00 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
20796680000,"BF HAL CHUCK ROLL        "," -70.7",0," -$324.51"
0,Sub-Total,0,0," -$324.51"
0,Tax,0,0,$0.00
0,Total,0,0," -$324.51"
0,"IOU PAYMNT X6894",0,0," -$4.82"
0,"IOU PAYMNT X3492",0,0," -$319.69"
0,Balance,0,0,$0.00

"Invoice: ","13492 Terminal: 12","03/20/2023 8:18 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0," -$319.69"
7959448947,"BAG BRN SOS 4#           ",1,0,$11.82
7959448947,"BAG BRN SOS 4#           ",1,0,$11.82
0,Sub-Total,0,0,$23.64
0,Tax,0,0,$2.42
0,Total,0,0,$26.06
0,"AMEX 3009",0,0," -$293.63"
0,Balance,0,0,$319.69

"Invoice: ","26894 Terminal: 13","03/20/2023 8:13 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0," -$324.51"
72906299119,"PDU ITALIAN PARSLE Y     ",1,0,$4.82
0,Sub-Total,0,0,$4.82
0,Tax,0,0,$0.00
0,Total,0,0,$4.82
0,Balance,0,0,$4.82

"Invoice: ","4089 Terminal: 60","03/20/2023 6:51 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
76069501732,"GLOVE VNL MD PF          ",0,1,$39.40
7959448953,"BAG BRN SOS 8#           ",1,0,$22.47
76069557288,"SPC PEPR BLK GRND  5LB   ",1,0,$22.54
76069500166,"TOM PUREE 1.06 ISB       ",1,0,$6.58
78707400092,"PAPER WRAP 15X16         ",0,1,$105.49
4900005846,"COKE CLASSIC       12Z   ",1,0,$19.41
1,"SEATTLE SBT",1,0,$7.35
4900005847,"DIET COKE          12Z   ",1,0,$19.62
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.19
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.19
76069503457,"LNR 40X46 16M NAT        ",1,0,$43.04
2060079278,"PD TOMATO ROMA XL        ",1,0,$21.45
2060079278,"PD TOMATO ROMA XL        ",1,0,$21.45
2060079278,"PD TOMATO ROMA XL        ",1,0,$21.45
7934102802,"TORT SPNACH WRP12""       ",0,1,$43.54
3022301150,"PD SPINACH CLEAN         ",0,1,$17.61
8437004591432,"PD GARLIC SPAINPLD       ",1,0,$16.52
2060044685,"PDU LEMON 5#             ",1,0,$4.15
20713500000,"LAMB GROUND              ",10,0,$56.00
30223023791,"PD CABB RED SHRD         ",1,0,$12.83
30223023791,"PD CABB RED SHRD         ",1,0,$12.83
76069500575,"YOGURT PLN JF 32#        ",1,0,$43.12
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
20795020000,"CHX HAL THIGH CVP        ",40,0,$67.60
76069500575,"YOGURT PLN JF 32#        ",1,0,$43.12
76069500575,"YOGURT PLN JF 32#        ",1,0,$43.12
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$18.41
2060035413,"PD CUCUMBER SEL 72       ",1,0,$21.74
20796680000,"BF HAL CHUCK ROLL        ",70.7,0,$339.36
20796680000,"BF HAL CHUCK ROLL        ",70.7,0," -$14.85"
20796680000,"BF HAL CHUCK ROLL        ",67.9,0,$311.66
20796680000,"BF HAL CHUCK ROLL        ",65.3,0,$299.73
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
20713500000,"LAMB GROUND              ",10,0,$56.00
0,Sub-Total,0,0,"$2,297.72"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$25.57
0,Total,0,0,"$2,323.29"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX3386",0,0,"$2,323.29"
0,Balance,0,0,$0.00

"Invoice: ","27595 Terminal: 60","03/27/2023 6:36 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
76069557339,"SPC ONION PWDR           ",1,0,$24.87
76069557323,"SPC GARLIC POWDER  5LB   ",1,0,$32.42
76069557428,"SPC DILL WEED 2#         ",1,0,$20.87
76069501439,"VINEGAR APL CIDER  5%    ",1,0,$7.63
2060079278,"PD TOMATO ROMA XL        ",1,0,$22.67
2060079278,"PD TOMATO ROMA XL        ",1,0,$22.67
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.19
76069533702,"REG ROLL VPT313          ",1,0,$94.86
74243404471,"PEPPER BAN RNGMIL        ",0,1,$26.74
76069501237,"FORK PS BLK              ",1,0,$31.69
2460001700,"SALT KOSHER MORTON       ",0,1,$27.35
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
76069502959,"CONT#3 TO GO KRAFT 64Z   ",1,0,$72.08
7266810000,"PD LETT ROMAINE HT       ",0,4,$114.40
76069501695,"YOG DAHI W/M JF    5#    ",0,5,$137.75
20796680000,"BF HAL CHUCK ROLL        ",61.1,0,$289.00
20796680000,"BF HAL CHUCK ROLL        ",61.1,0," -$12.83"
20796680000,"BF HAL CHUCK ROLL        ",64.3,0,$290.64
20796680000,"BF HAL CHUCK ROLL        ",59.8,0,$270.29
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.80
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.80
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.80
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.80
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.80
61070809790,"PD HRB DILL 1LB          ",1,0,$5.59
72906299119,"PDU ITALIAN PARSLE Y     ",1,0,$5.05
60688610845,"CHZ FETA CRUMB ITH 5#    ",0,1,$64.35
20713500000,"LAMB GROUND              ",10,0,$56.00
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$17.99
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$17.99
2060035413,"PD CUCUMBER SEL 72       ",1,0,$15.23
0,Sub-Total,0,0,"$2,133.09"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$20.36
0,Total,0,0,"$2,153.45"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX6474",0,0,"$2,153.45"
0,Balance,0,0,$0.00

"Invoice: ","15762 Terminal: 12","04/03/2023 8:12 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
76069500627,"ORANGE THUN CITRUS       ",1,0,$11.60
0,Sub-Total,0,0,$11.60
0,Tax,0,0,$1.19
0,Total,0,0,$12.79
0,"AMEX 3009",0,0,$12.79
0,Balance,0,0,$0.00

"Invoice: ","19424 Terminal: 60","04/03/2023 8:06 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$17.69
3022301150,"PD SPINACH CLEAN         ",0,1,$16.91
20713500000,"LAMB GROUND              ",10,0,$52.40
3022302663,"PD CABB COLESLAW         ",0,1,$25.53
20796680000,"BF HAL CHUCK ROLL        ",65.1,0,$298.81
20796680000,"BF HAL CHUCK ROLL        ",65.1,0," -$13.67"
20796680000,"BF HAL CHUCK ROLL        ",64.3,0,$281.63
2060035413,"PD CUCUMBER SEL 72       ",1,0,$21.74
8437004591432,"PD GARLIC SPAINPLD       ",1,0,$16.72
2060043858,"PD LETT ROMAINE HT       ",0,1,$27.88
2060043858,"PD LETT ROMAINE HT       ",0,1,$27.88
2060043858,"PD LETT ROMAINE HT       ",0,1,$27.88
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.00
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.00
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.00
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.00
20795020000,"CHX HAL THIGH CVP        ",40,0,$70.00
7959448947,"BAG BRN SOS 4#           ",1,0,$12.41
7959448947,"BAG BRN SOS 4#           ",1,0,$12.41
76069501732,"GLOVE VNL MD PF          ",0,1,$39.40
4900005849,"COKE ZERO          12Z   ",1,0,$19.62
4900005846,"COKE CLASSIC       12Z   ",1,0,$19.41
1,"SEATTLE SBT",1,0,$7.35
4900005847,"DIET COKE          12Z   ",1,0,$19.62
4900004897,"FANTA ORANGE       355ML ",1,0,$37.18
1,"SEATTLE SBT",1,0,$5.04
4900004897,"FANTA ORANGE       355ML ",1,0,$37.18
1,"SEATTLE SBT",1,0,$5.04
7934102213,"TORT WHT GRDITA13""       ",0,1,$43.54
2060079278,"PD TOMATO ROMA XL        ",1,0,$17.90
2060079278,"PD TOMATO ROMA XL        ",1,0,$17.90
3022302663,"PD CABB COLESLAW         ",0," -1"," -$25.53"
76069557484,"SPC PAPRIKA        4.5LB ",1,0,$16.91
76069557443,"SPC OREGANO GREEK  24Z   ",1,0,$18.08
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$5.54
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$5.54
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$5.54
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$5.54
7934122334,"WRPS DP12"" SPINACH 10CT  ",0,1,$26.33
72181004112,"BAG SANDWICH-DX18        ",1,0,$47.08
74243404471,"PEPPER BAN RNGMIL        ",0,1,$26.74
3700008310,"DAWN ORIGINAL PUMP       ",0,1,$66.28
3520007554,"RICE PARBOIL CUBE  1/50# ",1,0,$33.14
4150081938,"MUSTARD YLW FRENCH 4/105Z",0,1,$19.44
2060079278,"PD TOMATO ROMA XL        ",1,0,$17.90
2060079278,"PD TOMATO ROMA XL        ",1,0,$17.90
2060079278,"PD TOMATO ROMA XL        "," -2",0," -$35.80"
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.59
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.41
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.41
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.41
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.41
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.41
0,Sub-Total,0,0,"$1,874.67"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$31.84
0,Total,0,0,"$1,906.51"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX9173",0,0,"$1,906.51"
0,Balance,0,0,$0.00

"Invoice: ","22427 Terminal: 60","05/08/2023 6:52 am"
UPC,Description,Unit,Case,Price
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40
76069502959,"CONT#3 TO GO KRAFT 64Z   ",1,0,$68.20
76069502190,"FOIL 12X10.75            ",0,1,$90.58
4900004422,"MEXICAN COKE       355ML ",1,0,$37.18
1,"SEATTLE SBT",1,0,$5.04
4900004422,"MEXICAN COKE       355ML ",1,0,$37.18
1,"SEATTLE SBT",1,0,$5.04
76069500351,"MAYO CHEFS QUALITY 4GL   ",1,0,$46.59
76069500627,"ORANGE THUN CITRUS       ",0,1,$37.95
74243404471,"PEPPER BAN RNGMIL        ",0,1,$28.54
4150081938,"MUSTARD YLW FRENCH 4/105Z",0,1,$19.44
4900005849,"COKE ZERO          12Z   ",1,0,$18.26
59382,"(Coupon) NO LONGER ON FILE",1,0," -$1.40"
76069557339,"SPC ONION PWDR           ",1,0,$23.29
76069557428,"SPC DILL WEED 2#         ",1,0,$21.12
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$7.23
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$7.23
76069557423,"SPC CORIANDR SD GD 14Z   ",1,0,$7.23
76069500759,"SCRUBBER S/S 50GR        ",1,0,$8.28
72181004112,"BAG SANDWICH-DX18        ",1,0,$47.08
3520007553,"RICE PARBOIL CUBE  1/25# ",1,0,$17.24
3520007553,"RICE PARBOIL CUBE  1/25# "," -1",0," -$17.24"
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$15.41
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$15.41
20713500000,"LAMB GROUND              ",10,0,$54.40
60688610845,"CHZ FETA CRUMB ITH 5#    ",0,1,$66.56
76069500575,"YOGURT PLN JF 32#        ",1,0,$42.53
76069500575,"YOGURT PLN JF 32#        ",1,0,$42.53
20796680000,"BF HAL CHUCK ROLL        ",53,0,$252.81
20776820000,"CHX THIGH MEAT CVP       ",40,0,$68.80
20776820000,"CHX THIGH MEAT CVP       ",40,0,$68.80
20776820000,"CHX THIGH MEAT CVP       ",40,0,$68.80
20776820000,"CHX THIGH MEAT CVP       ",40,0,$68.80
20776820000,"CHX THIGH MEAT CVP       ",40,0,$68.80
76069522997,"SOUR CREAM BULK JF       ",1,0,$57.38
20796680000,"BF HAL CHUCK ROLL        ",29.4,0,$140.24
20796680000,"BF HAL CHUCK ROLL        ",29.4,0," -$17.30"
3520007554,"RICE PARBOIL CUBE  1/50# ",1,0,$31.17
2060043858,"PD LETT ROMAINE HT       ",0,1,$37.93
2060043858,"PD LETT ROMAINE HT       ",0,1,$37.93
2060043858,"PD LETT ROMAINE HT       ",0,1,$37.93
2060043858,"PD LETT ROMAINE HT       ",0,1,$37.93
2060042597,"PD CABB RED 45LB         ",1,0,$44.43
88264500004,"PD ONION YLW BAGS        ",1,0,$6.16
2060035413,"PD CUCUMBER SEL 72       ",1,0,$22.92
2060042760,"PD TOMATO 25LB XL        ",1,0,$18.75
2060042760,"PD TOMATO 25LB XL        ",1,0,$18.75
2060042760,"PD TOMATO 25LB XL        ",1,0,$18.75
61070809790,"PD HRB DILL 1LB          ",1,0,$5.59
2060042597,"PD CABB RED 45LB         "," -1",0," -$44.43"
76069522997,"SOUR CREAM BULK JF       "," -1",0," -$57.38"
3022302670,"PD CABB RED SHRD         ",0,1,$32.19
76069500575,"YOGURT PLN JF 32#        ",1,0,$42.53
0,Sub-Total,0,0,"$1,896.78"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$4.74
0,Total,0,0,"$1,901.52"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX3189",0,0,"$1,901.52"
0,Balance,0,0,$0.00
" -2","Previous Balance",0,0,$0.00
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
1159448015,"TIMS VARIETY PACK  30CT  ",1,0,$19.40
1159430001,"TIMS HAW MIX PACK        ",1,0,$19.40

"Invoice: ","122136 Terminal: 0","05/15/2023 12:00 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
20798580000,"BF HAL RIBEYE      NEB   "," -54.6",0," -$474.47"
0,Sub-Total,0,0," -$474.47"
0,Tax,0,0,$0.00
0,Total,0,0," -$474.47"
0,"IOU PAYMNT X4449",0,0," -$474.47"
0,Balance,0,0,$0.00

"Invoice: ","23445 Terminal: 15","05/15/2023 8:46 am"
UPC,Description,Unit,Case,Price
" -2","Previous Balance",0,0,$0.00
7934122334,"WRPS DP12"" SPINACH 10CT  ",0,1,$25.08
7934122334,"WRPS DP12"" SPINACH 10CT  ",1,0,$4.30
7934122334,"WRPS DP12"" SPINACH 10CT  ",1,0,$4.30
7934122334,"WRPS DP12"" SPINACH 10CT  ",1,0,$4.30
7934122334,"WRPS DP12"" SPINACH 10CT  ",1,0,$4.30
7934122334,"WRPS DP12"" SPINACH 10CT  ",1,0,$4.30
7934122334,"WRPS DP12"" SPINACH 10CT  "," -5",0," -$21.50"
7934122334,"WRPS DP12"" SPINACH 10CT  ",0,1,$25.08
61070809790,"PD HRB DILL 1LB          ",1,0,$5.32
81865401172,"PDU LEMON 5#             ",1,0,$5.07
72906299119,"PDU ITALIAN PARSLE Y     ",1,0,$7.83
4900004422,"MEXICAN COKE       355ML ",1,0,$35.41
1,"SEATTLE SBT",1,0,$5.04
4900004422,"MEXICAN COKE       355ML ",1,0,$35.41
1,"SEATTLE SBT",1,0,$5.04
4900004422,"MEXICAN COKE       355ML ",1,0,$35.41
1,"SEATTLE SBT",1,0,$5.04
4900005847,"DIET COKE          12Z   ",1,0,$17.39
59382,"(Coupon) NO LONGER ON FILE",1,0," -$1.40"
4900005846,"COKE CLASSIC       12Z   ",1,0,$17.39
59382,"(Coupon) NO LONGER ON FILE",1,0," -$1.40"
1,"SEATTLE SBT",1,0,$7.35
4900005846,"COKE CLASSIC       12Z   ",1,0,$17.39
